CODE,LINE_NAME,DATE,OUTPUT_KWH,LOSS_NOLOAD_KWH,LOSS_LOAD_KWH,LOSS_KWH,LOSS_PCT,MAX_LOAD_PCT,AVG_LOAD_PCT,N_INTERVALS,OUTPUT_SRC
TH.XULI.T1.1000kVA,TH.XULI.T1.1000kVA,2026-01-07,7370.4,23.088,30.6057,53.6937,0.723236,77.1223,31.8023,48,index
TTI.BQL.T2.630kVA CCNS,TTI.BQL.T2.630kVA CCNS,2026-01-07,320,18.72,0.0725842,18.7926,5.54693,4.2927,2.14351,48,index
TTI.BQL.T3.400kVA,TTI.BQL.T3.400kVA  CS+BQL,2026-01-07,591.2,9.96,0.404967,10.365,1.723,11.5577,6.30546,53,index
TTI.JOHNSON.T1.3000kVA,TTI.JOHNSON.T1.3000kVA,2026-01-07,1192,95.8025,0.132813,95.9353,7.44877,2.59339,1.62038,48,index
TTI.JOHNSON.T2.2000kVA,TTI.JOHNSON.T2.2000kVA,2026-01-07,528,73.128,0.0420354,73.17,12.1713,1.23,1.11071,48,index
YM.DAECHANG.T1.560kVA,YM.DAECHANG.T1.560kVA,2026-01-07,414,7.728,0.360536,8.08854,1.91631,14.0108,3.29601,48,index
YM.FOT.T1.2000kVA,YM.FOT.T1.2000kVA,2026-01-07,568,57.528,0.0598908,57.5879,9.2054,2.10152,1.15885,48,index
YM.JILI.T1.630kVA,YM.JILI.T1.630kVA,2026-01-07,2916.8,17.9362,11.167,29.1032,0.987919,55.2336,20.3806,48,index
YM.KIMTIN2.T1.1250kVA,YM.KIMTIN2.T1.1250kVA,2026-01-07,198,52.08,0.0326766,52.1127,20.8357,1.1782,0.691693,48,index
YM.LIHUA.T1.560kVA,YM.LIHUA.T1.560kVA,2026-01-07,4563.2,16.7338,16.5805,33.3142,0.724772,51.6125,34.3551,48,index
YM.LIHUA.T2.560kVA,YM.LIHUA.T2.560kVA,2026-01-07,1646.4,16.008,3.27699,19.285,1.15778,31.0099,13.4015,48,index
YM.MINHQUANG.T1.1500kVA,YM.MINHQUANG.T1.1500kVA,2026-01-07,5112,31.32,7.42548,38.7455,0.752231,21.0068,14.5095,48,index
YM.PACIFIC.T1.1000kVA,YM.PACIFIC.T1.1000kVA,2026-01-07,3729.6,13.959,7.58608,21.5451,0.57436,26.3998,24.3936,30,index
YM.SOL.T1.400kVA,YM.SOL.T1.400kVA,2026-01-07,717.6,10.1517,0.505593,10.6573,1.46339,13.7912,7.0811,48,index
YM.TITAN.NX1.400kVA,YM.TITAN.NX1.400kVA.SML,2026-01-07,742.4,9.6,1.06751,10.6675,1.41654,27.8362,8.09356,48,index
YM.TITAN.NX2.400kVA,YM.TITAN.NX2.400kVA.ESSENCE,2026-01-07,43.2,9.63312,0.00197636,9.6351,18.2362,0.785875,0.455453,48,index
YM.TITAN.NX4.400kVA,YM.TITAN.NX4.400kVA.JOINT,2026-01-07,8.4,9.8436,5.30958e-05,9.84365,53.9566,0.3,0.063125,48,index
