CODE,LINE_NAME,DATE_TIME,DUR_H,N_METERS,P_KW,Q_KVAR,S_KVA,LOAD_PCT,DELTA_P_KW,OUTPUT_KWH,LOSS_NOLOAD_KWH,LOSS_LOAD_KWH,LOSS_KWH
03.LOGOS.T1.1000kVA,03.LOGOS.T1.1000kVA,2026-07-01 00:03:00,0.45,1,3.52,-0.64,3.57771,0.357771,0.886817,1.584,0.399015,5.27357e-05,0.399068
03.NHUABINHTHUAN.2000kVA,03.NHUABINHTHUAN.2000kVA,2026-07-01 00:03:00,0.45,1,2,0,2,0.1,1.85002,0.9,0.8325,7.44615e-06,0.832507
03.SHINERAY.1000kVA,03.SHINERAY.1000kVA,2026-07-01 00:03:00,0.45,1,5.04,-0.72,5.09117,0.509117,0.925218,2.268,0.41625,9.82377e-05,0.416348
TH.BQL.T2.160kVA,TH.BQL.T2.160kVA,2026-07-01 00:03:00,0.45,2,11.04,-1.48,11.1388,6.96173,0.276816,4.968,0.1206,0.00396715,0.124567
TH.FANTASY.T2.3150kVA,TH.FANTASY.T2.3150kVA,2026-07-01 00:03:00,0.45,1,83.3,20.3,85.7379,2.72184,3.8398,37.485,1.72143,0.0064802,1.72791
TH.HONGXI.T1.800kVA,TH.HONGXI.T1.800kVA,2026-07-01 00:03:00,0.45,1,5.6,-8,9.76524,1.22066,0.831012,2.52,0.3735,0.000455471,0.373955
TTI.BQL.T1.630kVA XLNT,TTI.BQL.T1.630kVA  XLNT,2026-07-01 00:03:00,0.45,1,1.1,0,1.1,0.174603,0.780017,0.495,0.351,7.50639e-06,0.351008
TTI.BQL.T4.250kVA,TTI.BQL.T4.250kVA,2026-07-01 00:03:00,0.45,1,7.98,-2.34,8.31601,3.3264,0.366136,3.591,0.16335,0.00141111,0.164761
TTI.JOHNSON.T2.2000kVA,TTI.JOHNSON.T2.2000kVA,2026-07-01 00:03:00,0.45,1,119.4,5.4,119.522,5.9761,3.09735,53.73,1.37115,0.0226572,1.39381
YM.FUMAO.800kVA,YM.FUMAO.800kVA,2026-07-01 00:03:00,0.45,1,4.8,0.2,4.80416,0.600521,0.798541,2.16,0.359235,0.000108568,0.359344
YM.KIMTIN.3000KVA,YM.KIMTIN.3000KVA.ECHO,2026-07-01 00:03:00,0.45,2,15.2,4.4,15.824,0.527468,1.07029,6.84,0.4815,0.000131946,0.481632
YM.KIMTIN2.T1.1250kVA,YM.KIMTIN2.T1.1250kVA,2026-07-01 00:03:00,0.45,1,52.2,6.9,52.6541,4.21232,2.21387,23.49,0.9765,0.0197393,0.996239
YM.NHUADUCANH.T1.2000kVA,YM.NHUADUCANH.T1.2000kVA,2026-07-01 00:03:00,0.45,1,4,-1.2,4.17612,0.208806,2.39707,1.8,1.07865,3.31721e-05,1.07868
YM.SONMIENBAC.T1.1250kVA,YM.SONMIENBAC.T1.1250kVA,2026-07-01 00:03:00,0.45,1,1.8,0,1.8,0.144,1.07002,0.81,0.4815,9.83397e-06,0.48151
YM.YUSEN.T1.800kVA,YM.YUSEN.T1.800kVA,2026-07-01 00:03:00,0.45,1,30,-11.7,32.2008,4.0251,0.809139,13.5,0.359235,0.00487751,0.364113
03.ECOLAND.T4.1250kVA,03.ECOLAND.T4.1250kVA,2026-07-01 00:04:00,0.433333,1,7.8,-5.7,9.66075,0.77286,1.20964,3.38,0.5239,0.000276954,0.524177
YM.MINHQUANG.T1.1500kVA,YM.MINHQUANG.T1.1500kVA,2026-07-01 00:15:00,0.25,1,13.6,10.4,17.1207,1.14138,1.30678,3.4,0.32625,0.000445542,0.326696
03.AQ.T1.2500kVA,03.AQ.T1.2500kVA,2026-07-01 00:30:00,0.5,1,1.8,-2.4,3,0.12,4.50002,0.9,2.25,1.19138e-05,2.25001
03.ECOLAND.T1.400KVA,03.ECOLAND.T1.400KVA,2026-07-01 00:30:00,0.5,1,6.3,0.2,6.30317,1.57579,0.283353,3.15,0.141,0.000676689,0.141677
03.ECOLAND.T2.250kVA,03.ECOLAND.T2.250kVA,2026-07-01 00:30:00,0.5,1,39.66,-4.98,39.9714,15.9886,0.435447,19.83,0.1815,0.0362234,0.217723
03.ECOLAND.T4.1250kVA,03.ECOLAND.T4.1250kVA,2026-07-01 00:30:00,0.5,1,5.4,-5.7,7.85175,0.62814,1.20942,2.7,0.6045,0.00021109,0.604711
03.ECOLAND.T5.1500kVA,03.ECOLAND.T5.1500kVA,2026-07-01 00:30:00,0.5,1,4.16,-0.32,4.17229,0.278153,1.2341,2.08,0.617,5.09822e-05,0.617051
03.GHN.T1.2000kVA,03.GHN.T1.2000kVA,2026-07-01 00:30:00,0.5,1,716,56,718.187,35.9093,3.9837,358,0.925,1.06685,1.99185
03.IP.T1.560kVA,03.IP.T1.560kVA,2026-07-01 00:30:00,0.516667,1,44.16,7.36,44.7691,7.99449,0.570142,22.816,0.279083,0.0154905,0.294573
03.JPVN.T1.800kVA,03.JPVN.T1.800kVA,2026-07-01 00:30:00,0.5,1,15.3,0,15.3,1.9125,0.807451,7.65,0.4025,0.00122531,0.403725
03.LOGOS.T1.1000kVA,03.LOGOS.T1.1000kVA,2026-07-01 00:30:00,0.5,1,2.24,-0.64,2.32964,0.232964,0.88675,1.12,0.44335,2.48444e-05,0.443375
03.LOGOS.T2.2500kVA,03.LOGOS.T2.2500kVA,2026-07-01 00:30:00,0.5,1,12.5,-6.5,14.089,0.56356,1.69695,6.25,0.84815,0.000326731,0.848477
03.LOGOS.T3.1600kVA,03.LOGOS.T3.1600kVA,2026-07-01 00:30:00,0.5,1,9.28,-3.52,9.92516,0.620322,1.19556,4.64,0.5975,0.000279415,0.597779
03.NHUABINHTHUAN.2000kVA,03.NHUABINHTHUAN.2000kVA,2026-07-01 00:30:00,0.5,1,1,0,1,0.05,1.85,0.5,0.925,2.06837e-06,0.925002
03.SENDAI.T1.1000kVA,03.SENDAI.T1.1000kVA,2026-07-01 00:30:00,0.5,1,191.4,46.6,196.991,19.6991,1.26576,95.7,0.462205,0.170676,0.632881
03.SHINERAY.1000kVA,03.SHINERAY.1000kVA,2026-07-01 00:30:00,0.5,1,5.04,-0.72,5.09117,0.509117,0.925218,2.52,0.4625,0.000109153,0.462609
03.TAMAGAWA.T1.750kVA,03.TAMAGAWA.T1.750kVA,2026-07-01 00:30:00,0.5,1,66.08,26.08,71.0404,9.47205,0.963944,33.04,0.449,0.032972,0.481972
03.TMD.3000kVA,03.TMD.3000kVA ( 0.2kV ),2026-07-01 00:30:00,0.5,2,123.64,-357.64,378.409,12.6136,2.49576,61.82,1.09,0.157878,1.24788
PĐ.AMP.T1.1000kVA,PĐ.AMP.T1.1000kVA,2026-07-01 00:30:00,0.5,1,6.72,3.36,7.51319,0.751319,0.895479,3.36,0.4475,0.000239565,0.44774
PĐ.BQL.T1.75kVA,PĐ.BQL.T1.75kVA,2026-07-01 00:30:00,0.5,1,10.05,0.78,10.0802,13.4403,0.170944,5.025,0.077,0.00847209,0.0854721
TH.ACCELOTECH.T1.800kVA,TH.ACCELOTECH.T1.800kVA,2026-07-01 00:30:00,0.5,1,72.8,1.12,72.8086,9.10108,0.886266,36.4,0.415,0.0281331,0.443133
TH.ASAHI.T1.2500kVA,TH.ASAHI.T1.2500kVA,2026-07-01 00:30:00,0.5,1,714.6,188.4,739.018,29.5607,3.07983,357.3,0.94955,0.590364,1.53991
TH.BAIYANG.T1.2500kVA,TH.BAIYANG.T1.2500kVA,2026-07-01 00:30:00,0.5,1,24,0.6,24.0075,0.9603,1.90035,12,0.94955,0.000623022,0.950173
TH.BEBRIGHT.T1.2500kVA,TH.BEBRIGHT.T1.2500kVA,2026-07-01 00:30:00,0.5,1,19.8,-4.2,20.2406,0.809622,1.90044,9.9,0.94955,0.000671878,0.950222
TH.BQL.PCCC2.750kVA,TH.BQL.PCCC2.750kVA,2026-07-01 00:30:00,0.5,1,1,-0.4,1.07703,0.143604,0.732015,0.5,0.366,7.71787e-06,0.366008
TH.BQL.T1.180kVA,TH.BQL.T1.180kVA,2026-07-01 00:30:00,0.5,1,15.9,-1.98,16.0228,8.90156,0.30055,7.95,0.1425,0.00777521,0.150275
TH.BQL.T2.160kVA,TH.BQL.T2.160kVA,2026-07-01 00:30:00,0.5,2,13.84,-1.36,13.9067,8.69166,0.281742,6.92,0.134,0.00687082,0.140871
