CODE,LINE_NAME,DATE_TIME,DUR_H,N_METERS,P_KW,Q_KVAR,S_KVA,LOAD_PCT,DELTA_P_KW,OUTPUT_KWH,LOSS_NOLOAD_KWH,LOSS_LOAD_KWH,LOSS_KWH
03.LOGOS.T3.1600kVA,03.LOGOS.T3.1600kVA,2026-07-05 01:00:00,0.5,1,12.48,-4.48,13.2597,0.828734,1.196,6.24,0.5975,0.000498706,0.597999
03.NHUABINHTHUAN.2000kVA,03.NHUABINHTHUAN.2000kVA,2026-07-05 01:00:00,0.5,1,0.5,0,0.5,0.025,1.85,0.25,0.925,5.17094e-07,0.925001
03.SHINERAY.1000kVA,03.SHINERAY.1000kVA,2026-07-05 01:00:00,0.5,1,4.08,-0.96,4.19142,0.419142,0.925148,2.04,0.4625,7.39815e-05,0.462574
03.TAMAGAWA.T1.750kVA,03.TAMAGAWA.T1.750kVA,2026-07-05 01:00:00,0.533333,1,49.28,21.6,53.8059,7.17412,0.935829,26.2827,0.478933,0.0201755,0.499109
03.TMD.3000kVA,03.TMD.3000kVA ( 0.2kV ),2026-07-05 01:00:00,0.5,2,92.26,-383.18,394.13,13.1377,2.52254,46.13,1.09,0.17127,1.26127
PĐ.AMP.T1.1000kVA,PĐ.AMP.T1.1000kVA,2026-07-05 01:00:00,0.5,1,7.92,4.08,8.90914,0.890914,0.895674,3.96,0.4475,0.000336858,0.447837
PĐ.BQL.T1.75kVA,PĐ.BQL.T1.75kVA,2026-07-05 01:00:00,0.516667,1,6.72,-1.38,6.86023,9.14698,0.161848,3.472,0.0795667,0.00405479,0.0836215
TH.ACCELOTECH.T1.800kVA,TH.ACCELOTECH.T1.800kVA,2026-07-05 01:00:00,0.5,1,120.16,1.6,120.171,15.0213,0.983278,60.08,0.415,0.0766388,0.491639
TH.ASAHI.T1.2500kVA,TH.ASAHI.T1.2500kVA,2026-07-05 01:00:00,0.5,1,651.6,129,664.247,26.5699,2.85299,325.8,0.94955,0.476945,1.4265
TH.BAIYANG.T1.2500kVA,TH.BAIYANG.T1.2500kVA,2026-07-05 01:00:00,0.5,1,22.8,0.6,22.8079,0.912316,1.90022,11.4,0.94955,0.000562315,0.950112
TH.BEBRIGHT.T1.2500kVA,TH.BEBRIGHT.T1.2500kVA,2026-07-05 01:00:00,0.5,1,9,-4.8,10.2,0.408,1.89944,4.5,0.94955,0.000170626,0.949721
TH.BQL.PCCC2.750kVA,TH.BQL.PCCC2.750kVA,2026-07-05 01:00:00,0.5,1,0.9,-0.4,0.984886,0.131318,0.732013,0.45,0.366,6.45373e-06,0.366006
TH.BQL.T1.180kVA,TH.BQL.T1.180kVA,2026-07-05 01:00:00,0.5,1,10.74,-1.86,10.8999,6.05548,0.292196,5.37,0.1425,0.00359813,0.146098
TH.BQL.T2.160kVA,TH.BQL.T2.160kVA,2026-07-05 01:00:00,0.5,2,11.24,-1.68,11.3649,7.10304,0.277177,5.62,0.134,0.00458871,0.138589
TH.FANTASY.T1.3150kVA,TH.FANTASY.T1.3150kVA,2026-07-05 01:00:00,0.5,1,710.5,109.2,718.843,22.8204,4.83767,355.25,1.9127,0.506137,2.41884
TH.FANTASY.T2.3150kVA,TH.FANTASY.T2.3150kVA,2026-07-05 01:00:00,0.5,1,59.5,5.6,59.7629,1.89724,3.8324,29.75,1.9127,0.00349836,1.9162
TH.HONGXI.T1.800kVA,TH.HONGXI.T1.800kVA,2026-07-05 01:00:00,0.5,1,5.12,-7.68,9.23021,1.15378,0.830904,2.56,0.415,0.000452142,0.415452
TH.HUM&C.T1.750kVA,TH.HUM&C.T1.750kVA,2026-07-05 01:00:00,0.5,1,11.04,-0.48,11.0504,1.47339,0.789413,5.52,0.394,0.000706621,0.394707
TH.SINHER.T1.1600kVA,TH.SINHER.T1.1600kVA,2026-07-05 01:00:00,0.5,1,13.6,-0.4,13.6059,0.850368,1.15495,6.8,0.577,0.000473502,0.577474
TH.XULI.T1.1000kVA,TH.XULI.T1.1000kVA,2026-07-05 01:00:00,0.5,1,22.08,1.68,22.1438,2.21438,0.965192,11.04,0.481,0.00159609,0.482596
TTI.BQL.T1.630kVA XLNT,TTI.BQL.T1.630kVA  XLNT,2026-07-05 01:00:00,0.5,1,1.1,0,1.1,0.174603,0.780017,0.55,0.39,8.34043e-06,0.390008
TTI.BQL.T2.630kVA CCNS,TTI.BQL.T2.630kVA CCNS,2026-07-05 01:00:00,0.516667,1,14,-2.6,14.2394,2.26022,0.782795,7.23333,0.403,0.0014442,0.404444
TTI.BQL.T3.400kVA,TTI.BQL.T3.400kVA  CS+BQL,2026-07-05 01:00:00,0.5,2,19.64,-3.12,19.8863,4.97157,0.424219,9.82,0.2075,0.00460963,0.21211
TTI.BQL.T4.250kVA,TTI.BQL.T4.250kVA,2026-07-05 01:00:00,0.5,1,2.58,-1.98,3.2522,1.30088,0.36348,1.29,0.1815,0.000239797,0.18174
TTI.JOHNSON 2.T1.3000kVA,TTI.JOHNSON 2.T1.3000kVA,2026-07-05 01:00:00,0.5,1,76,-3.2,76.0673,2.53558,3.9749,38,1.981,0.00645198,1.98745
TTI.JOHNSON.T1.3000kVA,TTI.JOHNSON.T1.3000kVA,2026-07-05 01:00:00,0.5,1,910.4,342.4,972.659,32.422,6.09883,455.2,1.9945,1.05492,3.04942
TTI.JOHNSON.T2.2000kVA,TTI.JOHNSON.T2.2000kVA,2026-07-05 01:00:00,0.5,1,124.8,-0.6,124.801,6.24007,3.1019,62.4,1.5235,0.0274477,1.55095
TTI.TITAN.MVSG.1250kVA,TTI.TITAN.MVSG.1250kVA,2026-07-05 01:00:00,0.516667,1,0,0,0,0,2.65,0,1.36917,0,1.36917
YM.DAECHANG.T1.560kVA,YM.DAECHANG.T1.560kVA,2026-07-05 01:00:00,0.5,1,0.9,0,0.9,0.160714,0.322012,0.45,0.161,6.02851e-06,0.161006
YM.ECOPIONEER.1250 kVA,YM.ECOPIONEER.1250kVA,2026-07-05 01:00:00,0.5,1,4.2,-0.3,4.2107,0.336856,1.18812,2.1,0.594,5.87218e-05,0.594059
YM.FOT.T1.2000kVA,YM.FOT.T1.2000kVA,2026-07-05 01:00:00,0.5,1,181.2,-33.6,184.289,9.21445,2.54055,90.6,1.1985,0.0717766,1.27028
YM.FUMAO.800kVA,YM.FUMAO.800kVA,2026-07-05 01:00:00,0.5,1,1,-0.6,1.16619,0.145774,0.798314,0.5,0.39915,7.10823e-06,0.399157
YM.JILI.T1.630kVA,YM.JILI.T1.630kVA,2026-07-05 01:00:00,0.5,1,21.12,1.6,21.1805,3.36199,0.753356,10.56,0.37367,0.00300794,0.376678
YM.KIMTIN.3000KVA,YM.KIMTIN.3000KVA.ECHO,2026-07-05 01:00:00,0.5,2,122,74.8,143.105,4.77017,1.09398,61,0.535,0.0119903,0.54699
YM.KIMTIN2.T1.1250kVA,YM.KIMTIN2.T1.1250kVA,2026-07-05 01:00:00,0.5,1,12.9,0,12.9,1.032,2.17263,6.45,1.085,0.00131645,1.08632
YM.LIHUA.T1.560kVA,YM.LIHUA.T1.560kVA,2026-07-05 01:00:00,0.5,1,103.84,41.12,111.685,19.9438,0.914538,51.92,0.34862,0.108649,0.457269
YM.LIHUA.T2.560kVA,YM.LIHUA.T2.560kVA,2026-07-05 01:00:00,0.5,1,134.72,75.68,154.522,27.5932,1.08198,67.36,0.3335,0.207488,0.540988
YM.MINHQUANG.T1.1500kVA,YM.MINHQUANG.T1.1500kVA,2026-07-05 01:00:00,0.5,1,20.8,15.6,26,1.73333,1.30911,10.4,0.6525,0.00205504,0.654555
YM.NCC.250kVA,YM.NCC.250kVA,2026-07-05 01:00:00,0.5,1,16.5,0.9,16.5245,6.60981,0.322382,8.25,0.155,0.00619082,0.161191
YM.NHUADUCANH.T1.2000kVA,YM.NHUADUCANH.T1.2000kVA,2026-07-05 01:00:00,0.5,1,2.8,-1.2,3.04631,0.152315,2.39704,1.4,1.1985,1.96125e-05,1.19852
YM.PACIFIC.T1.1000kVA,YM.PACIFIC.T1.1000kVA,2026-07-05 01:00:00,0.5,1,495.6,141.84,515.498,51.5498,3.18435,247.8,0.4653,1.12688,1.59218
YM.SOL.T1.400kVA,YM.SOL.T1.400kVA,2026-07-05 01:00:00,0.516667,1,25.04,0.08,25.0401,6.26003,0.437898,12.9373,0.218695,0.00755238,0.226247
YM.SONMIENBAC.T1.1250kVA,YM.SONMIENBAC.T1.1250kVA,2026-07-05 01:00:00,0.5,1,4.5,0,4.5,0.36,1.07014,2.25,0.535,6.82914e-05,0.535068
YM.TITAN.NX1.400kVA,YM.TITAN.NX1.400kVA.SML,2026-07-05 01:00:00,0.5,1,12,-6.88,13.8324,3.45809,0.404495,6,0.2,0.00224758,0.202248
YM.TITAN.NX2.400kVA,YM.TITAN.NX2.400kVA.ESSENCE,2026-07-05 01:00:00,0.5,1,3.52,-0.32,3.53452,0.883629,0.401669,1.76,0.20069,0.000144561,0.200835
YM.TITAN.NX3.400kVA,YM.TITAN.NX3.400kVA.EVERJOY,2026-07-05 01:00:00,0.5,1,0.6,-0.24,0.64622,0.161555,0.40201,0.3,0.201,4.84808e-06,0.201005
YM.TITAN.NX4.400kVA,YM.TITAN.NX4.400kVA.JOINT,2026-07-05 01:00:00,0.5,1,0.48,-0.36,0.6,0.15,0.410158,0.24,0.205075,4.18736e-06,0.205079
YM.TITAN.NX5.400KVA,YM.TITAN.NX5.400KVA.JEN YAW,2026-07-05 01:00:00,0.5,1,1.76,-0.32,1.78885,0.447214,0.411075,0.88,0.2055,3.746e-05,0.205537
YM.TITAN.NX6.400kVA,YM.TITAN.NX6.400kVA.FUMAO,2026-07-05 01:00:00,0.5,1,5.44,-2.4,5.94589,1.48647,0.405828,2.72,0.2025,0.000413858,0.202914
YM.TITAN.NX7.630kVA,YM.TITAN.NX7.630kVA,2026-07-05 01:00:00,0.533333,1,17.28,3.04,17.5454,2.78498,0.786339,9.216,0.417067,0.00231401,0.419381
YM.TITAN.NX8.750kVA,YM.TITAN.NX8.750kVA Hồng Nguyên,2026-07-05 01:00:00,0.5,1,39.2,8.8,40.1756,5.35675,0.822256,19.6,0.402,0.0091278,0.411128
YM.TITAN.NX9.750kVA,YM.TITAN.NX9.750kVA,2026-07-05 01:00:00,0.516667,1,11,0.6,11.0164,1.46885,0.805373,5.68333,0.4154,0.000709181,0.416109
YM.VINSON.T1.400kVA,YM.VINSON.T1.400kVA,2026-07-05 01:00:00,0.5,1,152.72,47.6,159.966,39.9915,1.1132,76.36,0.2225,0.334098,0.556598
YM.YUSEN.T1.800kVA,YM.YUSEN.T1.800kVA,2026-07-05 01:00:00,0.5,1,29.7,-11.4,31.8127,3.97659,0.808879,14.85,0.39915,0.00528962,0.40444
03.ECOLAND.T4.1250kVA,03.ECOLAND.T4.1250kVA,2026-07-05 01:01:00,0.483333,1,6.3,-6,8.7,0.696,1.20952,3.045,0.58435,0.000250524,0.584601
YM.OSAKA.160kVA,YM.OSAKA.160kVA,2026-07-05 01:01:00,0.483333,1,0,0,0,0,0.6205,0,0.299908,0,0.299908
03.SENDAI.T1.1000kVA,03.SENDAI.T1.1000kVA,2026-07-05 01:02:00,0.466667,1,190,66.4,201.268,20.1268,1.28075,88.6667,0.431391,0.166291,0.597682
03.ECOLAND.T1.400KVA,03.ECOLAND.T1.400KVA,2026-07-05 01:30:00,0.5,1,6.6,0.7,6.63702,1.65925,0.283501,3.3,0.141,0.000750268,0.14175
03.ECOLAND.T2.250kVA,03.ECOLAND.T2.250kVA,2026-07-05 01:30:00,0.5,1,35.64,-4.92,35.978,14.3912,0.421694,17.82,0.1815,0.029347,0.210847
03.ECOLAND.T4.1250kVA,03.ECOLAND.T4.1250kVA,2026-07-05 01:30:00,0.5,1,5.1,-5.7,7.64853,0.611882,1.2094,2.55,0.6045,0.000200304,0.6047
03.ECOLAND.T5.1500kVA,03.ECOLAND.T5.1500kVA,2026-07-05 01:30:00,0.5,1,5.12,-0.32,5.12999,0.341999,1.23415,2.56,0.617,7.70731e-05,0.617077
03.GHN.T1.2000kVA,03.GHN.T1.2000kVA,2026-07-05 01:30:00,0.5,1,691.5,49,693.234,34.6617,3.83801,345.75,0.925,0.994006,1.91901
03.IP.T1.560kVA,03.IP.T1.560kVA,2026-07-05 01:30:00,0.5,1,46.24,9.12,47.1308,8.41621,0.573388,23.12,0.27008,0.0166142,0.286694
03.JPVN.T1.800kVA,03.JPVN.T1.800kVA,2026-07-05 01:30:00,0.5,1,18,1.5,18.0624,2.2578,0.808415,9,0.4025,0.00170771,0.404208
03.LOGOS.T1.1000kVA,03.LOGOS.T1.1000kVA,2026-07-05 01:30:00,0.5,1,2.24,-0.64,2.32964,0.232964,0.88675,1.12,0.44335,2.48444e-05,0.443375
03.LOGOS.T2.2500kVA,03.LOGOS.T2.2500kVA,2026-07-05 01:30:00,0.5,1,14,-6.5,15.4353,0.617414,1.69708,7,0.84815,0.000392159,0.848542
03.LOGOS.T3.1600kVA,03.LOGOS.T3.1600kVA,2026-07-05 01:30:00,0.516667,1,11.84,-4.48,12.6592,0.791202,1.19591,6.11733,0.617417,0.000469709,0.617886
03.NHUABINHTHUAN.2000kVA,03.NHUABINHTHUAN.2000kVA,2026-07-05 01:30:00,0.5,1,1.5,0,1.5,0.075,1.85001,0.75,0.925,4.65384e-06,0.925005
03.SENDAI.T1.1000kVA,03.SENDAI.T1.1000kVA,2026-07-05 01:30:00,0.5,1,189.2,55.8,197.257,19.7257,1.26668,94.6,0.462205,0.171137,0.633342
03.SHINERAY.1000kVA,03.SHINERAY.1000kVA,2026-07-05 01:30:00,0.5,1,4.08,-0.96,4.19142,0.419142,0.925148,2.04,0.4625,7.39815e-05,0.462574
03.TMD.3000kVA,03.TMD.3000kVA ( 0.2kV ),2026-07-05 01:30:00,0.5,2,86.62,-383.68,393.336,13.1112,2.52116,43.31,1.09,0.17058,1.26058
PĐ.AMP.T1.1000kVA,PĐ.AMP.T1.1000kVA,2026-07-05 01:30:00,0.5,1,7.2,3.6,8.04984,0.804984,0.89555,3.6,0.4475,0.000275011,0.447775
TH.ACCELOTECH.T1.800kVA,TH.ACCELOTECH.T1.800kVA,2026-07-05 01:30:00,0.5,1,119.36,1.92,119.375,14.9219,0.981256,59.68,0.415,0.0756278,0.490628
TH.ASAHI.T1.2500kVA,TH.ASAHI.T1.2500kVA,2026-07-05 01:30:00,0.5,1,685.8,144,700.755,28.0302,2.96073,342.9,0.94955,0.530814,1.48036
TH.BAIYANG.T1.2500kVA,TH.BAIYANG.T1.2500kVA,2026-07-05 01:30:00,0.5,1,22.2,0.6,22.2081,0.888324,1.90017,11.1,0.94955,0.000533129,0.950083
TH.BEBRIGHT.T1.2500kVA,TH.BEBRIGHT.T1.2500kVA,2026-07-05 01:30:00,0.5,1,9,-4.8,10.2,0.408,1.89944,4.5,0.94955,0.000170626,0.949721
TH.BQL.PCCC2.750kVA,TH.BQL.PCCC2.750kVA,2026-07-05 01:30:00,0.5,1,3.2,-0.7,3.27567,0.436756,0.732143,1.6,0.366,7.13903e-05,0.366071
TH.BQL.T1.180kVA,TH.BQL.T1.180kVA,2026-07-05 01:30:00,0.5,1,11.46,-1.86,11.61,6.44998,0.293164,5.73,0.1425,0.00408222,0.146582
TH.BQL.T2.160kVA,TH.BQL.T2.160kVA,2026-07-05 01:30:00,0.5,2,13.52,-0.92,13.5513,8.46954,0.281048,6.76,0.134,0.00652413,0.140524
TH.FANTASY.T1.3150kVA,TH.FANTASY.T1.3150kVA,2026-07-05 01:30:00,0.5,1,744.1,100.8,750.896,23.838,4.92996,372.05,1.9127,0.552282,2.46498
TH.FANTASY.T2.3150kVA,TH.FANTASY.T2.3150kVA,2026-07-05 01:30:00,0.5,1,58.8,4.9,59.0038,1.87314,3.83222,29.4,1.9127,0.00341005,1.91611
TH.HONGXI.T1.800kVA,TH.HONGXI.T1.800kVA,2026-07-05 01:30:00,0.5,1,5.12,-7.68,9.23021,1.15378,0.830904,2.56,0.415,0.000452142,0.415452
TH.HUM&C.T1.750kVA,TH.HUM&C.T1.750kVA,2026-07-05 01:30:00,0.5,1,10.24,-0.96,10.2849,1.37132,0.789224,5.12,0.394,0.000612109,0.394612
TH.SINHER.T1.1600kVA,TH.SINHER.T1.1600kVA,2026-07-05 01:30:00,0.5,1,9.6,-2,9.80612,0.612883,1.15449,4.8,0.577,0.000245959,0.577246
TH.XULI.T1.1000kVA,TH.XULI.T1.1000kVA,2026-07-05 01:30:00,0.5,1,20.4,1.2,20.4353,2.04353,0.964719,10.2,0.481,0.00135929,0.482359
TTI.BQL.T1.630kVA XLNT,TTI.BQL.T1.630kVA  XLNT,2026-07-05 01:30:00,0.5,1,1.1,0,1.1,0.174603,0.780017,0.55,0.39,8.34043e-06,0.390008
TTI.BQL.T3.400kVA,TTI.BQL.T3.400kVA  CS+BQL,2026-07-05 01:30:00,0.5,2,18.92,-3.52,19.2447,4.81116,0.423634,9.46,0.2075,0.00431697,0.211817
TTI.BQL.T4.250kVA,TTI.BQL.T4.250kVA,2026-07-05 01:30:00,0.5,1,2.58,-1.98,3.2522,1.30088,0.36348,1.29,0.1815,0.000239797,0.18174
TTI.JOHNSON 2.T1.3000kVA,TTI.JOHNSON 2.T1.3000kVA,2026-07-05 01:30:00,0.5,1,77.6,-3.2,77.666,2.58887,3.97545,38.8,1.981,0.00672602,1.98773
TTI.JOHNSON.T1.3000kVA,TTI.JOHNSON.T1.3000kVA,2026-07-05 01:30:00,0.5,1,1001.6,356.8,1063.25,35.4418,6.51016,500.8,1.9945,1.26058,3.25508
TTI.JOHNSON.T2.2000kVA,TTI.JOHNSON.T2.2000kVA,2026-07-05 01:30:00,0.5,1,139.8,0,139.8,6.99,3.11588,69.9,1.5235,0.0344415,1.55794
YM.DAECHANG.T1.560kVA,YM.DAECHANG.T1.560kVA,2026-07-05 01:30:00,0.533333,1,0.9,0,0.9,0.160714,0.322012,0.48,0.171733,6.43041e-06,0.17174
YM.ECOPIONEER.1250 kVA,YM.ECOPIONEER.1250kVA,2026-07-05 01:30:00,0.5,1,4.5,-0.3,4.50999,0.360799,1.18813,2.25,0.594,6.73661e-05,0.594067
YM.FOT.T1.2000kVA,YM.FOT.T1.2000kVA,2026-07-05 01:30:00,0.5,1,178.8,-36.8,182.548,9.12739,2.53785,89.4,1.1985,0.0704267,1.26893
YM.FUMAO.800kVA,YM.FUMAO.800kVA,2026-07-05 01:30:00,0.5,1,1,-0.6,1.16619,0.145774,0.798314,0.5,0.39915,7.10823e-06,0.399157
YM.JILI.T1.630kVA,YM.JILI.T1.630kVA,2026-07-05 01:30:00,0.5,1,24.16,1.6,24.2129,3.84332,0.755202,12.08,0.37367,0.00393089,0.377601
YM.KIMTIN.3000KVA,YM.KIMTIN.3000KVA.ECHO,2026-07-05 01:30:00,0.5,2,127.6,76,148.519,4.95062,1.09583,63.8,0.535,0.0129146,0.547915
YM.KIMTIN2.T1.1250kVA,YM.KIMTIN2.T1.1250kVA,2026-07-05 01:30:00,0.5,1,12,0,12,0.96,2.17228,6,1.085,0.00113917,1.08614
YM.LIHUA.T1.560kVA,YM.LIHUA.T1.560kVA,2026-07-05 01:30:00,0.5,1,136.8,67.36,152.485,27.2294,1.1023,68.4,0.34862,0.202528,0.551148
YM.LIHUA.T2.560kVA,YM.LIHUA.T2.560kVA,2026-07-05 01:30:00,0.5,1,146.24,84,168.648,30.1157,1.16132,73.12,0.3335,0.247159,0.580659
YM.MINHQUANG.T1.1500kVA,YM.MINHQUANG.T1.1500kVA,2026-07-05 01:30:00,0.5,1,18,13.2,22.3213,1.48809,1.30803,9,0.6525,0.00151465,0.654015
YM.NCC.250kVA,YM.NCC.250kVA,2026-07-05 01:30:00,0.5,1,14.34,0.9,14.3682,5.74729,0.319361,7.17,0.155,0.00468053,0.159681
YM.NHUADUCANH.T1.2000kVA,YM.NHUADUCANH.T1.2000kVA,2026-07-05 01:30:00,0.5,1,2.8,-1.2,3.04631,0.152315,2.39704,1.4,1.1985,1.96125e-05,1.19852
YM.OSAKA.160kVA,YM.OSAKA.160kVA,2026-07-05 01:30:00,0.5,1,0,0,0,0,0.6205,0,0.31025,0,0.31025
YM.PACIFIC.T1.1000kVA,YM.PACIFIC.T1.1000kVA,2026-07-05 01:30:00,0.533333,1,496.08,139.92,515.435,51.5435,3.1838,264.576,0.49632,1.20171,1.69803
YM.SONMIENBAC.T1.1250kVA,YM.SONMIENBAC.T1.1250kVA,2026-07-05 01:30:00,0.5,1,4.5,0,4.5,0.36,1.07014,2.25,0.535,6.82914e-05,0.535068
YM.TITAN.NX1.400kVA,YM.TITAN.NX1.400kVA.SML,2026-07-05 01:30:00,0.5,1,4.8,-7.84,9.19269,2.29817,0.401985,2.4,0.2,0.000992677,0.200993
YM.TITAN.NX2.400kVA,YM.TITAN.NX2.400kVA.ESSENCE,2026-07-05 01:30:00,0.5,1,3.52,-0.48,3.55258,0.888144,0.401672,1.76,0.20069,0.000146042,0.200836
YM.TITAN.NX3.400kVA,YM.TITAN.NX3.400kVA.EVERJOY,2026-07-05 01:30:00,0.5,1,0.6,-0.24,0.64622,0.161555,0.40201,0.3,0.201,4.84808e-06,0.201005
YM.TITAN.NX4.400kVA,YM.TITAN.NX4.400kVA.JOINT,2026-07-05 01:30:00,0.5,1,0.48,-0.36,0.6,0.15,0.410158,0.24,0.205075,4.18736e-06,0.205079
YM.TITAN.NX5.400KVA,YM.TITAN.NX5.400KVA.JEN YAW,2026-07-05 01:30:00,0.5,1,2.24,-0.32,2.26274,0.565685,0.41112,1.12,0.2055,5.9936e-05,0.20556
YM.TITAN.NX6.400kVA,YM.TITAN.NX6.400kVA.FUMAO,2026-07-05 01:30:00,0.5,1,3.52,-2.56,4.35247,1.08812,0.405444,1.76,0.2025,0.000221763,0.202722
YM.TITAN.NX8.750kVA,YM.TITAN.NX8.750kVA Hồng Nguyên,2026-07-05 01:30:00,0.5,1,52.2,15.4,54.4243,7.25657,0.837501,26.1,0.402,0.0167504,0.41875
YM.VINSON.T1.400kVA,YM.VINSON.T1.400kVA,2026-07-05 01:30:00,0.5,1,112.4,41.92,119.963,29.9907,0.820786,56.2,0.2225,0.187893,0.410393
YM.YUSEN.T1.800kVA,YM.YUSEN.T1.800kVA,2026-07-05 01:30:00,0.5,1,28.2,-11.7,30.5308,3.81635,0.808044,14.1,0.39915,0.00487191,0.404022
03.AQ.T1.2500kVA,03.AQ.T1.2500kVA,2026-07-05 01:31:00,0.483333,1,1.8,-2.4,3,0.12,4.50002,0.87,2.175,1.15167e-05,2.17501
PĐ.BQL.T1.75kVA,PĐ.BQL.T1.75kVA,2026-07-05 01:31:00,0.483333,1,6.72,-1.38,6.86023,9.14698,0.161848,3.248,0.0744333,0.00379319,0.0782265
TTI.BQL.T2.630kVA CCNS,TTI.BQL.T2.630kVA CCNS,2026-07-05 01:31:00,0.483333,1,13.8,-2.5,14.0246,2.22613,0.782712,6.67,0.377,0.00131058,0.378311
TTI.TITAN.MVSG.1250kVA,TTI.TITAN.MVSG.1250kVA,2026-07-05 01:31:00,0.483333,1,0,0,0,0,2.65,0,1.28083,0,1.28083
YM.SOL.T1.400kVA,YM.SOL.T1.400kVA,2026-07-05 01:31:00,0.483333,1,28.88,0.48,28.884,7.221,0.44273,13.9587,0.204585,0.00940073,0.213986
YM.TITAN.NX9.750kVA,YM.TITAN.NX9.750kVA,2026-07-05 01:31:00,0.483333,1,10.2,0.6,10.2176,1.36235,0.805181,4.93,0.3886,0.000570714,0.389171
03.TAMAGAWA.T1.750kVA,03.TAMAGAWA.T1.750kVA,2026-07-05 01:32:00,0.466667,1,68.64,23.36,72.5061,9.66748,0.966693,32.032,0.419067,0.0320569,0.451124
YM.TITAN.NX7.630kVA,YM.TITAN.NX7.630kVA,2026-07-05 01:32:00,0.466667,1,15.68,2.88,15.9423,2.53052,0.785582,7.31733,0.364933,0.00167167,0.366605
03.AQ.T1.2500kVA,03.AQ.T1.2500kVA,2026-07-05 02:00:00,0.5,1,1.8,-2.4,3,0.12,4.50002,0.9,2.25,1.19138e-05,2.25001
03.ECOLAND.T1.400KVA,03.ECOLAND.T1.400KVA,2026-07-05 02:00:00,0.5,1,6.9,0.7,6.93542,1.73385,0.283638,3.45,0.141,0.000819248,0.141819
03.ECOLAND.T2.250kVA,03.ECOLAND.T2.250kVA,2026-07-05 02:00:00,0.516667,1,35.88,-4.56,36.1686,14.4674,0.422318,18.538,0.18755,0.0306474,0.218197
03.ECOLAND.T4.1250kVA,03.ECOLAND.T4.1250kVA,2026-07-05 02:00:00,0.5,1,5.7,-6,8.27587,0.662069,1.20947,2.85,0.6045,0.00023451,0.604735
03.ECOLAND.T5.1500kVA,03.ECOLAND.T5.1500kVA,2026-07-05 02:00:00,0.5,1,5.12,-0.32,5.12999,0.341999,1.23415,2.56,0.617,7.70731e-05,0.617077
03.GHN.T1.2000kVA,03.GHN.T1.2000kVA,2026-07-05 02:00:00,0.5,1,682.5,45.5,684.015,34.2007,3.78549,341.25,0.925,0.967744,1.89274
03.IP.T1.560kVA,03.IP.T1.560kVA,2026-07-05 02:00:00,0.5,1,37.92,8.32,38.822,6.9325,0.562705,18.96,0.27008,0.0112726,0.281353
03.JPVN.T1.800kVA,03.JPVN.T1.800kVA,2026-07-05 02:00:00,0.5,1,18.3,1.5,18.3614,2.29517,0.808529,9.15,0.4025,0.00176472,0.404265
03.LOGOS.T1.1000kVA,03.LOGOS.T1.1000kVA,2026-07-05 02:00:00,0.5,1,2.24,-0.64,2.32964,0.232964,0.88675,1.12,0.44335,2.48444e-05,0.443375
03.LOGOS.T2.2500kVA,03.LOGOS.T2.2500kVA,2026-07-05 02:00:00,0.5,1,14,-7,15.6525,0.626099,1.69711,7,0.84815,0.00040327,0.848553
03.NHUABINHTHUAN.2000kVA,03.NHUABINHTHUAN.2000kVA,2026-07-05 02:00:00,0.5,1,0.5,0,0.5,0.025,1.85,0.25,0.925,5.17094e-07,0.925001
03.SENDAI.T1.1000kVA,03.SENDAI.T1.1000kVA,2026-07-05 02:00:00,0.516667,1,175,52.6,182.734,18.2734,1.21814,90.4167,0.477612,0.151761,0.629373
03.SHINERAY.1000kVA,03.SHINERAY.1000kVA,2026-07-05 02:00:00,0.516667,1,3.36,-0.96,3.49445,0.349445,0.925103,1.736,0.477917,5.31373e-05,0.47797
03.TAMAGAWA.T1.750kVA,03.TAMAGAWA.T1.750kVA,2026-07-05 02:00:00,0.5,1,58.88,22.56,63.054,8.4072,0.949951,29.44,0.449,0.0259753,0.474975
03.TMD.3000kVA,03.TMD.3000kVA ( 0.2kV ),2026-07-05 02:00:00,0.5,2,94.82,-387.54,398.971,13.299,2.53101,47.41,1.09,0.175503,1.2655
PĐ.AMP.T1.1000kVA,PĐ.AMP.T1.1000kVA,2026-07-05 02:00:00,0.5,1,6.96,3.6,7.83592,0.783592,0.895521,3.48,0.4475,0.000260588,0.447761
PĐ.BQL.T1.75kVA,PĐ.BQL.T1.75kVA,2026-07-05 02:00:00,0.5,1,8.22,0.03,8.22005,10.9601,0.165268,4.11,0.077,0.00563378,0.0826338
TH.ACCELOTECH.T1.800kVA,TH.ACCELOTECH.T1.800kVA,2026-07-05 02:00:00,0.516667,1,118.88,1.28,118.887,14.8609,0.98002,61.4213,0.428833,0.0775104,0.506344
TH.ASAHI.T1.2500kVA,TH.ASAHI.T1.2500kVA,2026-07-05 02:00:00,0.5,1,667.8,143.4,683.023,27.3209,2.90768,333.9,0.94955,0.50429,1.45384
TH.BAIYANG.T1.2500kVA,TH.BAIYANG.T1.2500kVA,2026-07-05 02:00:00,0.5,1,22.8,0.6,22.8079,0.912316,1.90022,11.4,0.94955,0.000562315,0.950112
