METER_NO,METER_NAME,METER_MODEL_DESC,CUSTOMER_CODE,CUSTOMER_NAME,ADDRESS,LINE_NAME,STATUS
2510814977,400,ME-41,KCNYM-031,CÔNG TY TNHH NHỰA ĐỨC ANH,KCN Yên Mỹ,YM.NHUADUCANH.T1.2000kVA,Yes
2610026949,600,ME-41,KCNTTI-007,CÔNG TY TNHH CÔNG NGHIỆP TITAN CORPORATION 3 (BẮC NINH),KCN Thuận Thành I,TTI.TITAN.NX6.2000kVA,No
2610026950,600,ME-41,KCNTTI-003,CÔNG TY CỔ PHẦN CÔNG NGHỆ QUỐC TẾ DOVEY,KCN Thuận Thành I,TTI.DOVEY.T1.2500kVA,No
2610026952,200,ME-41,KCNYM-030,CÔNG TY TNHH CÔNG NGHỆ FUMAO (VIỆT NAM),KCN Yên Mỹ,YM.FUMAO.800kVA,Yes
2610026953,700,ME-41,KCNTH-013,CÔNG TY TNHH FANTASY TECH,KCN Tiền Hải,TH.FANTASY.T2.3150kVA,Yes
2610026958,300,ME-41,KCN03-019,CÔNG TY CỔ PHẦN ĐẦU TƯ FI VINA,KCN Số 3,03.FI VINA.1500kVA ,No
2610026963,300,ME-41,KCNYM-029,CÔNG TY TNHH YUSEN LOGISTICS (VIỆT NAM),KCN Yên Mỹ,YM.YUSEN.T1.800kVA,Yes
2610026966,240,ME-41,KCNPĐ-002,CÔNG TY TNHH MAY MẶC AMP VIỆT NAM PHONG ĐIỀN,KCN Phong Điền,PĐ.AMP.T1.1000kVA,Yes
2610026976,60,ME-41,KCNYM-032,CÔNG TY TNHH NCC VIỆT NAM,KCN Yên Mỹ,YM.NCC.250kVA,Yes
2610026977,30,ME-41,KCNPĐ-001,CÔNG TY ĐẦU TƯ PHÁT TRIỂN HẠ TẦNG VIGLACCERA - CHI NHÁNH TỔNG CÔNG TY VIGLACERA,KCN Phong Điền,PĐ.BQL.T1.75kVA,Yes
2610100259,20,ME-41,KCNPĐ-001,CÔNG TY ĐẦU TƯ PHÁT TRIỂN HẠ TẦNG VIGLACCERA - CHI NHÁNH TỔNG CÔNG TY VIGLACERA,KCN Phong Điền,PĐ.BQL.T2.50kVA,No
2610126270,400,ME-41,KCNTTI-007,CÔNG TY TNHH CÔNG NGHIỆP TITAN CORPORATION 3 (BẮC NINH),KCN Thuận Thành I,TTI.TITAN.MVSG.1250kVA,Yes
2610126451,300,ME-41,KCNYM-035,CÔNG TY TNHH SƠN MIỀN BẮC,KCN Yên Mỹ,YM.SONMIENBAC.T1.1250kVA,Yes
2610159557,600,ME-41,KCN03-018,CÔNG TY TNHH CÔNG NGHIỆP CHÍNH XÁC AQ (VIỆT NAM) ,KCN Số 3,03.AQ.T1.2500kVA,Yes
2610170786,500,ME-41,KCN03-017,CÔNG TY CỔ PHẦN TẬP ĐOÀN NHỰA BÌNH THUẬN,KCN Số 3,03.NHUABINHTHUAN.2000kVA,Yes
