METER_NO,DATE_TIME,HSN,PG,BT,CD,TD,VC
2410121326,2026-08-28 01:00:00,200,1454.890,939.470,408.760,106.650,340.390
2410121353,2026-08-28 01:00:00,120,627.870,436.480,170.540,20.840,132.070
2410121371,2026-08-28 01:00:00,120,561.740,349.830,124.110,87.790,68.220
2410121424,2026-08-28 01:00:00,120,45.310,27.980,10.670,6.650,1.600
2410121440,2026-08-28 01:00:00,120,13.140,8.250,2.600,2.280,1.340
2410121454,2026-08-28 01:00:00,160,1943.400,1222.360,420.410,300.620,313.970
2410121457,2026-08-28 01:00:00,120,1268.930,822.580,365.620,80.720,214.850
2410121574,2026-08-28 01:00:00,120,4615.770,3332.360,1073.770,209.630,397.890
2410131378,2026-08-28 01:00:00,200,1708.720,1093.700,474.260,140.750,377.590
2410131383,2026-08-28 01:00:00,400,1012.660,670.480,216.480,125.690,45.200
2410131384,2026-08-28 01:00:00,200,9535.310,5410.990,1916.620,2207.680,1986.380
2410131387,2026-08-28 01:00:00,600,509.290,317.980,121.420,69.890,52.660
2410320615,2026-08-28 01:00:00,700,14630.650,8954.650,3574.630,2101.360,3608.820
2410883990,2026-08-28 01:00:00,60,2977.260,1706.980,635.500,634.770,885.840
2410883991,2026-08-28 01:00:00,100,2663.370,1602.700,598.710,461.960,248.230
2410883993,2026-08-28 01:00:00,60,2798.240,1331.970,532.580,933.680,88.990
2410883994,2026-08-28 01:00:00,320,99.750,44.300,19.920,35.520,3.410
2410932742,2026-08-28 01:00:00,240,18820.320,10954.770,3500.180,4365.350,4736.830
2411087432,2026-08-28 01:00:00,40,3434.390,2138.220,982.560,313.590,705.120
2411087433,2026-08-28 01:00:00,500,671.230,398.210,148.330,124.680,15.910
2411290205,2026-08-28 01:00:00,240,9115.230,6136.310,2661.090,317.820,3225.420
2510014481,2026-08-28 01:00:00,80,14715.800,8573.840,2835.910,3306.030,5521.400
2510014483,2026-08-28 01:00:00,300,210.390,120.980,47.100,42.310,0.000
2510014484,2026-08-28 01:00:00,160,8991.520,5099.040,1991.500,1900.970,1369.630
2510178139,2026-08-28 01:00:00,300,709.800,414.810,154.630,140.350,143.560
2510178141,2026-08-28 01:00:00,40,592.160,442.500,139.530,10.120,164.810
2510203103,2026-08-28 01:00:00,400,1786.000,1060.570,402.670,322.750,44.110
2510203104,2026-08-28 01:00:00,120,2806.840,1684.280,658.530,464.020,404.430
2510203105,2026-08-28 01:00:00,100,2237.480,1555.360,632.790,49.330,526.820
2510203106,2026-08-28 01:00:00,100,92.260,42.850,15.220,34.180,0.370
2510203107,2026-08-28 01:00:00,600,392.690,245.420,110.300,36.960,112.790
2510203108,2026-08-28 01:00:00,80,3586.079,2011.180,794.039,780.850,579.659
2510203109,2026-08-28 01:00:00,160,1390.750,871.420,425.300,94.020,430.490
2510203113,2026-08-28 01:00:00,160,3925.480,2485.630,941.960,497.890,217.760
2510203114,2026-08-28 01:00:00,120,1735.040,1090.770,428.600,215.670,344.440
2510203117,2026-08-28 01:00:00,80,1570.400,834.690,344.200,391.500,263.410
2510203118,2026-08-28 01:00:00,640,171.460,99.090,38.980,33.390,26.980
2510203119,2026-08-28 01:00:00,40,480.820,323.290,123.490,34.020,180.180
2510203120,2026-08-28 01:00:00,160,3943.980,2422.639,873.720,647.610,896.509
2510203122,2026-08-28 01:00:00,40,874.280,554.400,273.700,46.170,640.230
